IATA,Airport Name
LAX,Los Angeles
ORD,Chicago O'Hare
DEN,Denver
DFW,Dallas/Fort Worth
DAL,Dallas
ATL,Atlanta
PHX,Phoenix
JFK,New York JFK
PHL,Philadelphia
MCO,Orlando
CLT,Charlotte
LAS,Las Vegas
MSP,Minneapolis
BOS,Boston
SFO,San Francisco
DTW,Detroit Metro
BWI,Baltimore
DCA,Washington Reagan
FLL,Fort Lauderdale
MIA,Miami
TPA,Tampa
STL,St. Louis
EWR,Newark
LGA,New York LaGuardia
IAH,Houston Bush
MDW,Chicago Midway
MSY,New Orleans
SAN,San Diego
MCI,Kansas City
SEA,Seattle
RDU,Raleigh/Durham
BNA,Nashville
SLC,Salt Lake City
IAD,Washington Dulles
PIT,Pittsburgh
CUN,Cancun
MKE,Milwaukee
AUS,Austin
IND,Indianapolis
CLE,Cleveland
CMH,Columbus
CVG,Cincinnati
YYZ,Toronto
SAT,San Antonio
PDX,Portland
RSW,Fort Myers
HOU,Houston
SJU,San Juan
HNL,Honolulu
OAK,Oakland
SMF,Sacramento
SJC,San Jose
SNA,Santa Ana
OGG,Kahului
JAX,Jacksonville
