,LAX,ORD,DEN,DFW,ATL,PHX,JFK,PHL,MCO,CLT,LAS,MSP,BOS,SFO,DTW,BWI,FLL,DCA,MIA,TPA,STL,EWR,LGA,IAH,MDW,MSY,SAN,MCI,SEA,RDU,SLC,BNA,IAD,CUN,PIT,MKE,AUS,IND,CLE,CMH,CVG,YYZ,SAT,LHR,PDX,RSW,HOU,SJU,HNL,NRT
LAX,0.0,0.5555555555555556,0.6666666666666667,0.5555555555555556,0.33333333333333337,0.5555555555555556,0.6666666666666667,0.33333333333333337,0.5555555555555556,0.22222222222222224,1.0,0.4444444444444445,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.4444444444444445,0.22222222222222224,0.0,0.4444444444444445,0.22222222222222224,0.33333333333333337,0.4444444444444445,0.33333333333333337,0.4444444444444445,0.33333333333333337,0.5555555555555556,0.4444444444444445,0.4444444444444445,0.33333333333333337,0.33333333333333337,0.22222222222222224,0.4444444444444445,0.33333333333333337,0.11111111111111112,0.33333333333333337,0.11111111111111112,0.33333333333333337,0.33333333333333337,0.4444444444444445,0.33333333333333337,0.0,0.22222222222222224,0.0,0.6666666666666667,0.4444444444444445
ORD,0.5295398009950248,0.0,0.4236318407960199,0.4236318407960199,0.4236318407960199,0.3177238805970149,0.4236318407960199,0.3177238805970149,0.4236318407960199,0.3177238805970149,0.4236318407960199,0.5295398009950248,0.5295398009950248,0.4236318407960199,0.4236318407960199,0.3177238805970149,0.4236318407960199,0.3177238805970149,0.3177238805970149,0.4236318407960199,0.3177238805970149,0.3177238805970149,0.5295398009950248,0.4236318407960199,0.0,0.3177238805970149,0.3177238805970149,0.3177238805970149,0.3177238805970149,0.3177238805970149,0.4236318407960199,0.3177238805970149,0.10590796019900497,0.3177238805970149,0.3177238805970149,0.3177238805970149,0.3177238805970149,0.3177238805970149,0.3177238805970149,0.3177238805970149,0.4236318407960199,0.3177238805970149,0.3177238805970149,0.4236318407960199,0.3177238805970149,0.4236318407960199,0.0,0.4236318407960199,0.10590796019900497,0.3177238805970149
DEN,0.5219993781094527,0.3479995854063018,0.0,0.4349994817578773,0.4349994817578773,0.6089992744610283,0.1739997927031509,0.4349994817578773,0.3479995854063018,0.1739997927031509,0.4349994817578773,0.5219993781094527,0.26099968905472637,0.3479995854063018,0.4349994817578773,0.26099968905472637,0.3479995854063018,0.1739997927031509,0.26099968905472637,0.26099968905472637,0.3479995854063018,0.1739997927031509,0.3479995854063018,0.26099968905472637,0.26099968905472637,0.3479995854063018,0.3479995854063018,0.3479995854063018,0.4349994817578773,0.08699989635157546,0.3479995854063018,0.26099968905472637,0.26099968905472637,0.26099968905472637,0.1739997927031509,0.3479995854063018,0.3479995854063018,0.3479995854063018,0.26099968905472637,0.1739997927031509,0.26099968905472637,0.08699989635157546,0.26099968905472637,0.08699989635157546,0.3479995854063018,0.1739997927031509,0.1739997927031509,0.0,0.08699989635157546,0.08699989635157546
DFW,0.4633602819237148,0.37068822553897185,0.4633602819237148,0.0,0.37068822553897185,0.27801616915422883,0.27801616915422883,0.27801616915422883,0.27801616915422883,0.18534411276948592,0.27801616915422883,0.4633602819237148,0.37068822553897185,0.37068822553897185,0.37068822553897185,0.27801616915422883,0.27801616915422883,0.18534411276948592,0.18534411276948592,0.27801616915422883,0.27801616915422883,0.27801616915422883,0.37068822553897185,0.27801616915422883,0.0,0.27801616915422883,0.27801616915422883,0.18534411276948592,0.18534411276948592,0.18534411276948592,0.27801616915422883,0.18534411276948592,0.27801616915422883,0.37068822553897185,0.27801616915422883,0.18534411276948592,0.18534411276948592,0.18534411276948592,0.27801616915422883,0.18534411276948592,0.27801616915422883,0.27801616915422883,0.18534411276948592,0.18534411276948592,0.27801616915422883,0.18534411276948592,0.18534411276948592,0.18534411276948592,0.18534411276948592,0.18534411276948592
ATL,0.41577269900497504,0.5543635986733001,0.6929544983416253,0.5543635986733001,0.0,0.6929544983416253,0.13859089966832502,0.6929544983416253,0.41577269900497504,0.41577269900497504,0.41577269900497504,0.5543635986733001,0.41577269900497504,0.5543635986733001,0.41577269900497504,0.41577269900497504,0.5543635986733001,0.41577269900497504,0.41577269900497504,0.41577269900497504,0.41577269900497504,0.27718179933665005,0.41577269900497504,0.27718179933665005,0.41577269900497504,0.41577269900497504,0.41577269900497504,0.41577269900497504,0.13859089966832502,0.41577269900497504,0.13859089966832502,0.13859089966832502,0.27718179933665005,0.41577269900497504,0.41577269900497504,0.41577269900497504,0.41577269900497504,0.41577269900497504,0.27718179933665005,0.41577269900497504,0.27718179933665005,0.27718179933665005,0.41577269900497504,0.27718179933665005,0.13859089966832502,0.41577269900497504,0.41577269900497504,0.41577269900497504,0.13859089966832502,0.13859089966832502
PHX,0.29035810530679934,0.1742148631840796,0.4065013474295191,0.1742148631840796,0.29035810530679934,0.0,0.23228648424543946,0.23228648424543946,0.23228648424543946,0.11614324212271973,0.23228648424543946,0.3484297263681592,0.1742148631840796,0.23228648424543946,0.23228648424543946,0.23228648424543946,0.23228648424543946,0.11614324212271973,0.11614324212271973,0.23228648424543946,0.1742148631840796,0.23228648424543946,0.0,0.1742148631840796,0.11614324212271973,0.058071621061359865,0.23228648424543946,0.1742148631840796,0.23228648424543946,0.058071621061359865,0.23228648424543946,0.058071621061359865,0.058071621061359865,0.11614324212271973,0.1742148631840796,0.23228648424543946,0.1742148631840796,0.1742148631840796,0.058071621061359865,0.1742148631840796,0.0,0.0,0.23228648424543946,0.058071621061359865,0.1742148631840796,0.0,0.11614324212271973,0.0,0.1742148631840796,0.0
JFK,0.48252487562189056,0.3216832504145937,0.16084162520729686,0.24126243781094528,0.08042081260364843,0.3216832504145937,0.0,0.08042081260364843,0.3216832504145937,0.3216832504145937,0.48252487562189056,0.16084162520729686,0.3216832504145937,0.48252487562189056,0.08042081260364843,0.24126243781094528,0.16084162520729686,0.24126243781094528,0.24126243781094528,0.3216832504145937,0.08042081260364843,0.0,0.0,0.0,0.0,0.24126243781094528,0.3216832504145937,0.0,0.3216832504145937,0.3216832504145937,0.16084162520729686,0.24126243781094528,0.24126243781094528,0.3216832504145937,0.24126243781094528,0.0,0.3216832504145937,0.24126243781094528,0.24126243781094528,0.24126243781094528,0.24126243781094528,0.24126243781094528,0.08042081260364843,0.24126243781094528,0.16084162520729686,0.08042081260364843,0.08042081260364843,0.3216832504145937,0.08042081260364843,0.24126243781094528
PHL,0.12429259950248756,0.12429259950248756,0.16572346600331675,0.12429259950248756,0.20715433250414594,0.16572346600331675,0.04143086650082919,0.0,0.16572346600331675,0.08286173300165837,0.16572346600331675,0.12429259950248756,0.12429259950248756,0.16572346600331675,0.12429259950248756,0.08286173300165837,0.12429259950248756,0.08286173300165837,0.08286173300165837,0.12429259950248756,0.16572346600331675,0.08286173300165837,0.08286173300165837,0.12429259950248756,0.08286173300165837,0.08286173300165837,0.08286173300165837,0.12429259950248756,0.08286173300165837,0.12429259950248756,0.12429259950248756,0.12429259950248756,0.04143086650082919,0.12429259950248756,0.08286173300165837,0.08286173300165837,0.08286173300165837,0.08286173300165837,0.08286173300165837,0.08286173300165837,0.12429259950248756,0.12429259950248756,0.08286173300165837,0.08286173300165837,0.08286173300165837,0.12429259950248756,0.0,0.08286173300165837,0.0,0.0
MCO,0.3180711028192371,0.2544568822553897,0.2544568822553897,0.1908426616915423,0.1908426616915423,0.1908426616915423,0.2544568822553897,0.2544568822553897,0.0,0.2544568822553897,0.12722844112769485,0.2544568822553897,0.2544568822553897,0.12722844112769485,0.12722844112769485,0.12722844112769485,0.1908426616915423,0.1908426616915423,0.12722844112769485,0.0,0.06361422056384743,0.12722844112769485,0.12722844112769485,0.12722844112769485,0.12722844112769485,0.12722844112769485,0.06361422056384743,0.1908426616915423,0.06361422056384743,0.1908426616915423,0.06361422056384743,0.1908426616915423,0.06361422056384743,0.12722844112769485,0.1908426616915423,0.1908426616915423,0.2544568822553897,0.1908426616915423,0.06361422056384743,0.12722844112769485,0.06361422056384743,0.12722844112769485,0.1908426616915423,0.0,0.0,0.12722844112769485,0.12722844112769485,0.2544568822553897,0.0,0.0
CLT,0.12531612769485903,0.18797419154228856,0.12531612769485903,0.12531612769485903,0.18797419154228856,0.12531612769485903,0.25063225538971806,0.12531612769485903,0.25063225538971806,0.0,0.12531612769485903,0.18797419154228856,0.18797419154228856,0.12531612769485903,0.18797419154228856,0.25063225538971806,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.18797419154228856,0.18797419154228856,0.18797419154228856,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.18797419154228856,0.12531612769485903,0.18797419154228856,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.18797419154228856,0.12531612769485903,0.18797419154228856,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.12531612769485903,0.0,0.0
