,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID	,Codeshare,Stops,Equipment
9620,AF,137,LAX,3484,ATL,3682,Y,0,763 757 76W
11696,AS,439,LAX,3484,ATL,3682,Y,0,763 757 73H 76W
17457,CI,1756,LAX,3484,ATL,3682,Y,0,757 73H 76W
21037,DL,2009,LAX,3484,ATL,3682,,0,763 757 73H 76W
25166,FL,1316,LAX,3484,ATL,3682,,0,73G
36736,KL,3090,LAX,3484,ATL,3682,Y,0,757
61089,VA,5360,LAX,3484,ATL,3682,Y,0,763 757 73H 76W
61751,VS,5347,LAX,3484,ATL,3682,Y,0,763 757
63969,WN,4547,LAX,3484,ATL,3682,,0,73W
6230,AA,24,ORD,3830,ATL,3682,Y,0,E75 CR7
9834,AF,137,ORD,3830,ATL,3682,Y,0,717 M88
13591,AZ,596,ORD,3830,ATL,3682,Y,0,M88
14854,BA,1355,ORD,3830,ATL,3682,Y,0,E75 CR7 74N
17993,CX,1680,ORD,3830,ATL,3682,Y,0,CR7
21533,DL,2009,ORD,3830,ATL,3682,,0,717 M88 319
23011,EI,837,ORD,3830,ATL,3682,Y,0,CR7 E70
24231,EY,2222,ORD,3830,ATL,3682,Y,0,E75
32809,IB,2822,ORD,3830,ATL,3682,Y,0,CR7
34788,JL,2987,ORD,3830,ATL,3682,Y,0,E75
36850,KL,3090,ORD,3830,ATL,3682,Y,0,717 M88 319
38708,LH,3320,ORD,3830,ATL,3682,Y,0,CR7 E70
40751,MH,3378,ORD,3830,ATL,3682,Y,0,E75 CR7
43200,NH,324,ORD,3830,ATL,3682,Y,0,CR7
45129,OZ,28,ORD,3830,ATL,3682,Y,0,E70 CR7
47040,QF,4089,ORD,3830,ATL,3682,Y,0,E75 CR7
47531,QR,4091,ORD,3830,ATL,3682,Y,0,CR7
57257,UA,5209,ORD,3830,ATL,3682,Y,0,CR7 E70
59873,US,5265,ORD,3830,ATL,3682,Y,0,E75 CR7
61815,VS,5347,ORD,3830,ATL,3682,Y,0,717 M88 319
5166,AA,24,DFW,3670,ATL,3682,,0,M83 M80 319
9464,AF,137,DFW,3670,ATL,3682,Y,0,M88 319
13248,AZ,596,DFW,3670,ATL,3682,Y,0,M88
14483,BA,1355,DFW,3670,ATL,3682,Y,0,M80 M83
20550,DL,2009,DFW,3670,ATL,3682,,0,M88 319
36582,KL,3090,DFW,3670,ATL,3682,Y,0,M88 319
43365,NK,4687,DFW,3670,ATL,3682,,0,320
46856,QF,4089,DFW,3670,ATL,3682,Y,0,M83 M80 319
59018,US,5265,DFW,3670,ATL,3682,Y,0,M83 M80 319
61724,VS,5347,DFW,3670,ATL,3682,Y,0,M88 319
7868,AC,330,DEN,3751,ATL,3682,Y,0,CR7
9463,AF,137,DEN,3751,ATL,3682,Y,0,757 M90 738
10955,AM,321,DEN,3751,ATL,3682,Y,0,M90 738
13247,AZ,596,DEN,3751,ATL,3682,Y,0,757
20541,DL,2009,DEN,3751,ATL,3682,,0,757 M90 738
24352,F9,2468,DEN,3751,ATL,3682,,0,319
25036,FL,1316,DEN,3751,ATL,3682,,0,73G
36580,KL,3090,DEN,3751,ATL,3682,Y,0,757 M90
56084,UA,5209,DEN,3751,ATL,3682,Y,0,CR7
61723,VS,5347,DEN,3751,ATL,3682,Y,0,757 M90 738
63701,WN,4547,DEN,3751,ATL,3682,,0,73W
9592,AF,137,JFK,3797,ATL,3682,Y,0,319 738 752
11013,AM,321,JFK,3797,ATL,3682,Y,0,752 319 757 738
13419,AZ,596,JFK,3797,ATL,3682,Y,0,752 319 M88 738
20919,DL,2009,JFK,3797,ATL,3682,,0,752 757 319 738 M88
36698,KL,3090,JFK,3797,ATL,3682,Y,0,319 738 752 M88
50855,SU,130,JFK,3797,ATL,3682,Y,0,752 319 738 757 M88
61744,VS,5347,JFK,3797,ATL,3682,Y,0,752 319 738 757 M88
9937,AF,137,SFO,3469,ATL,3682,Y,0,763 739 757
11211,AM,321,SFO,3469,ATL,3682,Y,0,763
13663,AZ,596,SFO,3469,ATL,3682,Y,0,763
17481,CI,1756,SFO,3469,ATL,3682,Y,0,739 757
21747,DL,2009,SFO,3469,ATL,3682,,0,763 739 757
25479,FL,1316,SFO,3469,ATL,3682,,0,73G
36896,KL,3090,SFO,3469,ATL,3682,Y,0,763 757
44024,NZ,345,SFO,3469,ATL,3682,Y,0,738
57628,UA,5209,SFO,3469,ATL,3682,,0,738
61830,VS,5347,SFO,3469,ATL,3682,Y,0,763 739 757
64427,WN,4547,SFO,3469,ATL,3682,,0,73W
9933,AF,137,SEA,3577,ATL,3682,Y,0,739 76W 757
11210,AM,321,SEA,3577,ATL,3682,Y,0,739 76W 757
11911,AS,439,SEA,3577,ATL,3682,,0,73J 73H
13660,AZ,596,SEA,3577,ATL,3682,Y,0,739 76W 757
21727,DL,2009,SEA,3577,ATL,3682,,0,739 76W 757 763
36891,KL,3090,SEA,3577,ATL,3682,Y,0,76W 763
9708,AF,137,MCO,3878,ATL,3682,Y,0,757 M88
11047,AM,321,MCO,3878,ATL,3682,Y,0,757 753 763
13508,AZ,596,MCO,3878,ATL,3682,Y,0,757 76W M88
21210,DL,2009,MCO,3878,ATL,3682,,0,757 76W  739 M88 753 763
25208,FL,1316,MCO,3878,ATL,3682,,0,717 73G
36780,KL,3090,MCO,3878,ATL,3682,Y,0,757 739
61798,VS,5347,MCO,3878,ATL,3682,Y,0,76W 757 739
64037,WN,4547,MCO,3878,ATL,3682,,0,73W
9619,AF,137,LAS,3877,ATL,3682,Y,0,739 738 757
13439,AZ,596,LAS,3877,ATL,3682,Y,0,757
21016,DL,2009,LAS,3877,ATL,3682,,0,739 757 738 753
25143,FL,1316,LAS,3877,ATL,3682,,0,73G
36734,KL,3090,LAS,3877,ATL,3682,Y,0,757
61748,VS,5347,LAS,3877,ATL,3682,Y,0,739 757 738
63914,WN,4547,LAS,3877,ATL,3682,,0,73W
4893,AA,24,CLT,3876,ATL,3682,Y,0,320 CR9 321 319
9435,AF,137,CLT,3876,ATL,3682,Y,0,M90 M88
11614,AS,439,CLT,3876,ATL,3682,Y,0,M90 M88
13207,AZ,596,CLT,3876,ATL,3682,Y,0,M90
20438,DL,2009,CLT,3876,ATL,3682,,0,M90 M88
36549,KL,3090,CLT,3876,ATL,3682,Y,0,M90 M88
58751,US,5265,CLT,3876,ATL,3682,,0,320 321 319
61717,VS,5347,CLT,3876,ATL,3682,Y,0,M90 M88
9502,AF,137,EWR,3494,ATL,3682,Y,0,717 319
10963,AM,321,EWR,3494,ATL,3682,Y,0,717 319
13261,AZ,596,EWR,3494,ATL,3682,Y,0,717
20721,DL,2009,EWR,3494,ATL,3682,,0,717 319
36612,KL,3090,EWR,3494,ATL,3682,Y,0,717 319
56285,UA,5209,EWR,3494,ATL,3682,Y,0,ERJ
61729,VS,5347,EWR,3494,ATL,3682,Y,0,717 319
6518,AA,24,PHX,3462,ATL,3682,Y,0,321 320
9879,AF,137,PHX,3462,ATL,3682,Y,0,757 739
13609,AZ,596,PHX,3462,ATL,3682,Y,0,757 739
21582,DL,2009,PHX,3462,ATL,3682,,0,757 739
25397,FL,1316,PHX,3462,ATL,3682,Y,0,73W
36863,KL,3090,PHX,3462,ATL,3682,Y,0,757
60136,US,5265,PHX,3462,ATL,3682,,0,321 320
61820,VS,5347,PHX,3462,ATL,3682,Y,0,757 739
64265,WN,4547,PHX,3462,ATL,3682,,0,73W
9579,AF,137,IAH,3550,ATL,3682,Y,0,M88 717 319
13402,AZ,596,IAH,3550,ATL,3682,Y,0,M88 717
