,ATL,LAX,ORD,DFW,DEN,JFK,SFO,SEA,MCO,LAS,CLT,EWR,PHX,IAH,MIA,BOS,MSP,DTW,FLL,PHL,LGA,BWI,SLC,SAN,IAD,DCA,TPA,MDW,HNL,PDX,BNA,AUS,DAL,STL,SJC,HOU,RDU,MSY,OAK,SMF,MCI,SNA,RSW,SAT,CLE,IND,PIT,SJU,CVG,CMH
ATL,0.0,0.45,1.0,0.5,0.55,0.35,0.55,0.29999999999999993,0.39999999999999997,0.35,0.39999999999999997,0.35,0.45,0.45,0.5999999999999999,0.35,0.35,0.39999999999999997,0.39999999999999997,0.45,0.35,0.35,0.29999999999999993,0.39999999999999997,0.45,0.35,0.39999999999999997,0.25,0.09999999999999999,0.19999999999999998,0.29999999999999993,0.35,0.19999999999999998,0.39999999999999997,0.09999999999999999,0.29999999999999993,0.45,0.45,0.0,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.35,0.29999999999999993,0.45,0.35,0.39999999999999997,0.35,0.39999999999999997
LAX,0.40086005422080956,0.0,0.24051603253248577,0.24051603253248577,0.28060203795456673,0.3206880433766477,0.28060203795456673,0.20043002711040478,0.24051603253248577,0.3607740487987286,0.08017201084416192,0.08017201084416192,0.24051603253248577,0.20043002711040478,0.16034402168832385,0.28060203795456673,0.28060203795456673,0.12025801626624288,0.12025801626624288,0.12025801626624288,0.0,0.12025801626624288,0.28060203795456673,0.20043002711040478,0.16034402168832385,0.16034402168832385,0.04008600542208096,0.08017201084416192,0.3607740487987286,0.16034402168832385,0.20043002711040478,0.20043002711040478,0.0,0.20043002711040478,0.3607740487987286,0.08017201084416192,0.16034402168832385,0.3607740487987286,0.12025801626624288,0.28060203795456673,0.12025801626624288,0.0,0.0,0.12025801626624288,0.04008600542208096,0.16034402168832385,0.16034402168832385,0.0,0.04008600542208096,0.16034402168832385
ORD,0.725968028419183,0.26746190520706736,0.0,0.15283537440403852,0.15283537440403852,0.19104421800504814,0.19104421800504814,0.15283537440403852,0.15283537440403852,0.15283537440403852,0.11462653080302888,0.11462653080302888,0.11462653080302888,0.15283537440403852,0.11462653080302888,0.19104421800504814,0.19104421800504814,0.15283537440403852,0.15283537440403852,0.11462653080302888,0.19104421800504814,0.11462653080302888,0.15283537440403852,0.15283537440403852,0.03820884360100963,0.11462653080302888,0.15283537440403852,0.0,0.03820884360100963,0.15283537440403852,0.11462653080302888,0.11462653080302888,0.0,0.11462653080302888,0.07641768720201926,0.0,0.11462653080302888,0.30567074880807704,0.03820884360100963,0.03820884360100963,0.11462653080302888,0.11462653080302888,0.15283537440403852,0.11462653080302888,0.11462653080302888,0.11462653080302888,0.11462653080302888,0.15283537440403852,0.15283537440403852,0.11462653080302888
DFW,0.36777040291670565,0.2006020379545667,0.13373469196971113,0.0,0.16716836496213894,0.10030101897728334,0.16716836496213894,0.10030101897728334,0.10030101897728334,0.10030101897728334,0.06686734598485557,0.10030101897728334,0.10030101897728334,0.10030101897728334,0.06686734598485557,0.13373469196971113,0.16716836496213894,0.13373469196971113,0.10030101897728334,0.10030101897728334,0.13373469196971113,0.10030101897728334,0.10030101897728334,0.13373469196971113,0.10030101897728334,0.06686734598485557,0.10030101897728334,0.0,0.06686734598485557,0.13373469196971113,0.06686734598485557,0.06686734598485557,0.0,0.10030101897728334,0.06686734598485557,0.06686734598485557,0.06686734598485557,0.2006020379545667,0.03343367299242778,0.06686734598485557,0.06686734598485557,0.10030101897728334,0.06686734598485557,0.06686734598485557,0.10030101897728334,0.06686734598485557,0.10030101897728334,0.06686734598485557,0.10030101897728334,0.06686734598485557
DEN,0.3452603533701038,0.21971113396279332,0.12554921940731045,0.15693652425913807,0.0,0.06277460970365523,0.12554921940731045,0.1883238291109657,0.12554921940731045,0.15693652425913807,0.06277460970365523,0.06277460970365523,0.21971113396279332,0.09416191455548285,0.09416191455548285,0.09416191455548285,0.1883238291109657,0.15693652425913807,0.12554921940731045,0.15693652425913807,0.12554921940731045,0.09416191455548285,0.12554921940731045,0.12554921940731045,0.09416191455548285,0.06277460970365523,0.09416191455548285,0.09416191455548285,0.03138730485182761,0.12554921940731045,0.09416191455548285,0.12554921940731045,0.0,0.12554921940731045,0.09416191455548285,0.06277460970365523,0.03138730485182761,0.15693652425913807,0.06277460970365523,0.09416191455548285,0.12554921940731045,0.12554921940731045,0.06277460970365523,0.09416191455548285,0.09416191455548285,0.12554921940731045,0.06277460970365523,0.0,0.09416191455548285,0.06277460970365523
JFK,0.2901374217070206,0.2321099373656165,0.1450687108535103,0.08704122651210619,0.058027484341404124,0.0,0.20309619519491443,0.1450687108535103,0.11605496868280825,0.2321099373656165,0.11605496868280825,0.0,0.11605496868280825,0.0,0.08704122651210619,0.11605496868280825,0.058027484341404124,0.029013742170702062,0.058027484341404124,0.029013742170702062,0.0,0.08704122651210619,0.058027484341404124,0.17408245302421238,0.08704122651210619,0.08704122651210619,0.11605496868280825,0.0,0.029013742170702062,0.058027484341404124,0.08704122651210619,0.11605496868280825,0.0,0.029013742170702062,0.029013742170702062,0.029013742170702062,0.11605496868280825,0.3191511638777227,0.029013742170702062,0.029013742170702062,0.0,0.0,0.029013742170702062,0.029013742170702062,0.08704122651210619,0.08704122651210619,0.08704122651210619,0.1450687108535103,0.08704122651210619,0.08704122651210619
SFO,0.23306441058240626,0.18127231934187155,0.1294802281013368,0.1294802281013368,0.0776881368608021,0.18127231934187155,0.0,0.1294802281013368,0.05179209124053473,0.10358418248106946,0.05179209124053473,0.05179209124053473,0.10358418248106946,0.05179209124053473,0.0776881368608021,0.0776881368608021,0.1294802281013368,0.025896045620267365,0.10358418248106946,0.10358418248106946,0.0,0.025896045620267365,0.05179209124053473,0.0776881368608021,0.05179209124053473,0.05179209124053473,0.0,0.05179209124053473,0.0776881368608021,0.10358418248106946,0.0,0.0776881368608021,0.025896045620267365,0.025896045620267365,0.0,0.0,0.05179209124053473,0.025896045620267365,0.0,0.025896045620267365,0.05179209124053473,0.0776881368608021,0.0,0.025896045620267365,0.025896045620267365,0.025896045620267365,0.025896045620267365,0.0,0.025896045620267365,0.0
SEA,0.140013087781621,0.11667757315135084,0.09334205852108067,0.0700065438908105,0.11667757315135084,0.11667757315135084,0.140013087781621,0.0,0.046671029260540335,0.09334205852108067,0.046671029260540335,0.0700065438908105,0.09334205852108067,0.0700065438908105,0.046671029260540335,0.0700065438908105,0.11667757315135084,0.023335514630270168,0.023335514630270168,0.0700065438908105,0.0,0.023335514630270168,0.09334205852108067,0.0700065438908105,0.023335514630270168,0.023335514630270168,0.023335514630270168,0.046671029260540335,0.0700065438908105,0.046671029260540335,0.0,0.023335514630270168,0.023335514630270168,0.046671029260540335,0.0700065438908105,0.0,0.0,0.0,0.0700065438908105,0.11667757315135084,0.0700065438908105,0.046671029260540335,0.0,0.023335514630270168,0.0,0.0,0.0,0.0,0.0,0.0
MCO,0.18360287931195662,0.13770215948396747,0.09180143965597831,0.06885107974198373,0.09180143965597831,0.09180143965597831,0.045900719827989156,0.045900719827989156,0.0,0.045900719827989156,0.09180143965597831,0.045900719827989156,0.06885107974198373,0.045900719827989156,0.045900719827989156,0.09180143965597831,0.09180143965597831,0.045900719827989156,0.06885107974198373,0.09180143965597831,0.045900719827989156,0.045900719827989156,0.022950359913994578,0.045900719827989156,0.022950359913994578,0.06885107974198373,0.0,0.045900719827989156,0.0,0.0,0.06885107974198373,0.09180143965597831,0.0,0.022950359913994578,0.0,0.045900719827989156,0.06885107974198373,0.045900719827989156,0.0,0.0,0.06885107974198373,0.0,0.045900719827989156,0.06885107974198373,0.022950359913994578,0.06885107974198373,0.06885107974198373,0.09180143965597831,0.022950359913994578,0.045900719827989156
LAS,0.15974291857530146,0.20538375245395904,0.09128166775731512,0.06846125081798633,0.1141020846966439,0.18256333551463025,0.09128166775731512,0.09128166775731512,0.04564083387865756,0.0,0.04564083387865756,0.02282041693932878,0.09128166775731512,0.04564083387865756,0.04564083387865756,0.04564083387865756,0.06846125081798633,0.06846125081798633,0.04564083387865756,0.09128166775731512,0.0,0.06846125081798633,0.06846125081798633,0.06846125081798633,0.02282041693932878,0.04564083387865756,0.02282041693932878,0.04564083387865756,0.04564083387865756,0.06846125081798633,0.02282041693932878,0.04564083387865756,0.0,0.04564083387865756,0.04564083387865756,0.04564083387865756,0.04564083387865756,0.04564083387865756,0.06846125081798633,0.04564083387865756,0.04564083387865756,0.04564083387865756,0.0,0.04564083387865756,0.04564083387865756,0.04564083387865756,0.02282041693932878,0.0,0.02282041693932878,0.02282041693932878
